Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
Au4Se4O12,,,0.268,0.685,0.064,-0.399,0.0,0.268,0.685,0.268,0.6850000000000003,-4.96,-5.094,-5.228,-95.929,1.3877787807814457e-17,0.0,1.118
Y2Br2S2,,,2.969,4.114,0.0,-2.087,0.0,2.969,4.114,2.969,4.114,-3.868,-5.353,-6.837,-33.231,1.3877787807814457e-17,0.0,3.586
Hf2Te8Ti2,,,0.104,0.732,0.129,-0.636,0.0,0.03699999999999992,0.692,0.10400000000000009,0.7320000000000002,-5.15,-5.168,-5.187,-61.667,1.3877787807814457e-17,0.0,4.149
SnNa2S6H6,,,2.593,3.659,0.008,-0.442,0.0,2.587,3.652,2.593,3.659,-3.091,-4.385,-5.679,-57.722,1.3877787807814457e-17,0.0,1.095
Te2As2S,,,0.962,1.481,0.02,-0.04600000000000004,0.0,0.709,1.149,0.962,1.481,-4.229,-4.583,-4.938,-20.046,1.3877787807814457e-17,0.0,4.658
Cr2As2S6,,,0.954,1.983,0.074,-0.387,1.0000000000000002,0.798,1.6829999999999998,0.954,1.983,-4.444,-4.843,-5.242,-56.483,-0.10000000000000003,-0.10000000000000002,3.595
I6Ca2Cu2,,,2.336,4.149,0.028,-1.038,0.0,2.245,4.14,2.336,4.149,-3.298,-4.42,-5.543,-30.626,1.3877787807814457e-17,0.0,3.199
I2Al2S2,,,1.619,2.445,0.044,-0.854,0.0,1.615,2.44,1.619,2.445,-4.338,-5.145,-5.953,-23.714,1.3877787807814457e-17,0.0,3.922
Si4S8,,,3.585,4.715,0.010000000000000002,-0.661,0.0,3.428,4.553,3.585,4.715,-3.179,-4.893,-6.607,-62.149,1.3877787807814457e-17,0.0,1.575
ZrCl2,1.993,2.564,1.58,2.157,0.0,-1.705,0.0,0.981,1.5,1.58,2.157,-3.029,-3.519,-4.01,-16.088000000000005,1.3877787807814457e-17,0.0,3.919
Mo2Br6,,,1.199,2.853,0.03,-0.578,1.0000000000000002,1.199,2.853,1.199,2.853,-4.353,-4.953,-5.552,-36.539,-1.332,-1.332,2.886
Cd2I4,,,2.239,3.172,0.0,-0.63,0.0,2.239,3.172,2.239,3.172,-3.831,-4.95,-6.07,-11.548000000000002,1.3877787807814457e-17,0.0,2.801
Ag2Ge2S6,,,0.0,,0.062,-0.18799999999999994,0.0,0.0,0.7050000000000001,0.0,0.911,-5.590333333333333,-5.351,-5.888,-41.057,1.3877787807814457e-17,0.0,1.394
V2Cl2C,,,0.0,,0.023,-0.895,0.0,0.0,0.9946666666666666,0.0,1.3316666666666668,-4.822666666666667,-4.657,-5.104333333333333,-34.311,1.3877787807814457e-17,0.0,5.241
Pb2As2S6C2H6,,,2.104,3.102,0.044,-0.21299999999999997,0.0,1.994,2.964,2.104,3.102,-3.458,-4.456,-5.453,-83.524,1.3877787807814457e-17,0.0,1.614
PbTe4As2,,,0.626,1.054,0.038,-0.09399999999999997,0.0,0.477,0.8470000000000002,0.626,1.054,-4.588,-4.827,-5.065,-26.561,1.3877787807814457e-17,0.0,3.588
FeAl2S4,,,0.799,2.649,0.10599999999999998,-0.8,0.0,0.663,2.36,0.799,2.649,-3.276,-3.608,-3.939,-38.43,1.3877787807814457e-17,0.0,3.224
Se2S8Li6H2,,,2.145,3.144,0.083,-0.637,0.0,2.124,3.065,2.145,3.144,-3.276,-4.338,-5.4,-69.041,1.3877787807814457e-17,0.0,1.285
Pb2Ag2Br6,,,2.344,3.419,0.0,-0.723,0.0,2.136,3.204,2.344,3.419,-4.463,-5.531,-6.598,-29.93,1.3877787807814457e-17,0.0,2.849
NiGa2S4,,,0.255,1.961,0.032,-0.55,1.0000000000000002,0.16999999999999993,1.961,0.2549999999999999,1.961,-4.272,-4.357,-4.442,-33.218,0.179,0.177,3.109
Cu4S6Cl4,,,0.387,0.931,0.146,-0.18100000000000005,0.0,0.3420000000000001,0.7040000000000002,0.387,0.931,-6.684,-6.855,-7.027,-48.842,1.3877787807814457e-17,0.0,3.012
ISeAl,,,2.253,3.097,0.073,-0.713,0.0,1.427,2.186,2.253,3.097,-4.204,-4.917,-5.631,-10.838000000000001,1.3877787807814457e-17,0.0,3.577
MoAgBr4,,,0.447,2.171,0.04,-0.482,1.0000000000000002,0.44300000000000006,2.166,0.44700000000000006,2.171,-4.779,-5.001,-5.223,-23.272,-1.103,-0.023999999999999994,2.82
Y4Te4Br4,,,0.355,1.144,0.034,-1.614,0.0,0.355,1.144,0.355,1.144,-5.3,-5.477,-5.655,-57.288,1.3877787807814457e-17,0.0,3.258
HfIBr,1.612,2.304,1.424,1.918,0.089,-0.887,0.0,0.713,1.157,1.424,1.918,-2.542,-2.898,-3.255,-13.230000000000004,1.3877787807814457e-17,0.0,4.29
Te2Ge2,,,1.152,1.52,0.09,-0.0040000000000000036,0.0,1.065,1.483,1.152,1.52,-3.547,-4.079,-4.611,-15.454999999999998,1.3877787807814457e-17,0.0,2.668
In4Se4Br4,,,2.253,3.146,0.0,-0.707,0.0,2.253,3.146,2.253,3.146,-4.633,-5.759,-6.886,-39.807,1.3877787807814457e-17,0.0,1.676
